restaurant_name,0.0,1.0,2.0,3.0,4.0,5.0
"""Food That Pleases""",25.0,0.0,0.0,50.0,0.0,25.0
101 Bagel Cafe,12.5,3.5,9.0,16.0,47.0,12.0
1911 Biscuits & Burgers,3.3,1.6,6.5,0.0,10.6,78.0
224 Cafe,25.0,0.0,0.0,4.2,50.0,20.8
26 Thai Kitchen and Bar Midtown,2.1,1.6,2.1,7.5,38.5,48.1
285 West Soul Food,9.5,6.3,16.3,33.3,29.2,5.4
433 Bishop Event Venue,2.2,0.0,15.2,30.4,39.1,13.0
5 Napkin Burger,25.0,0.0,50.0,0.0,0.0,25.0
5th Street Tapas,6.2,0.0,0.0,0.0,56.2,37.5
656 Sports Bar & Grille,13.3,4.5,16.7,29.6,28.3,7.6
683 Midtown Bar and Bistro,25.0,0.0,0.0,0.0,25.0,50.0
8ARM,8.2,5.5,16.9,38.3,28.0,3.1
9 Mile Station,6.2,4.3,9.5,20.9,43.3,15.9
A Town Wings,4.3,3.5,12.4,30.4,36.8,12.6
A1 Soulfood,9.7,3.1,10.2,19.4,41.8,15.8
ABC Chicken and Waffles-Nitro Coffee Counter,4.3,0.0,2.1,0.0,9.6,84.0
AJ2 Fish and wings,4.3,2.2,6.5,4.3,50.0,32.6
ATB Food Court,1.9,7.4,18.5,9.3,55.6,7.4
ATL Wings,7.1,3.8,15.2,28.5,37.0,8.4
ATLANTA DREAM WINGS DOWNTOWN,5.6,2.8,11.1,26.4,33.3,20.8
AZIO Downtown,25.0,8.3,25.0,16.7,16.7,8.3
Abol Cafe and Restaurant,8.6,2.7,9.2,20.5,43.2,15.7
Acoustix Jazz Restaurant & Lounge,26.7,40.0,26.7,0.0,0.0,6.7
Afrodish Restaurant,10.0,4.0,10.0,20.0,48.0,8.0
Agave Restaurant,1.6,3.1,13.2,29.8,41.2,11.1
Agency Socialtheque,8.0,3.2,10.6,22.3,45.7,10.1
Ah-Ma's Taiwanese Kitchen,5.3,3.0,12.4,31.2,39.5,8.6
Aladdin's Mediterranean Grill,5.6,1.5,12.2,36.7,41.8,2.0
Ali Baba Mediterranean,6.7,3.0,11.1,19.9,34.7,24.6
Allora,16.4,9.2,13.2,16.4,38.2,6.6
Alma Cocina Buckhead,1.5,3.1,1.5,3.1,33.8,56.9
Alma Cocina Downtown,2.3,2.8,11.4,23.2,46.0,14.2
Ameer's Mediterranean Grill,5.3,3.6,14.7,27.8,33.8,14.8
American Cut Steakhouse,5.9,2.9,6.6,25.9,56.6,2.2
American Eclectic Burger,50.0,8.3,0.0,8.3,8.3,25.0
American Wing & Deli,11.1,6.7,8.9,33.3,35.6,4.4
American Wings & Seafood,4.1,2.2,18.3,27.2,36.9,11.2
Anna's BBQ,4.5,2.8,12.6,30.9,36.7,12.6
Annie's Thai Castle,5.7,5.7,22.1,29.3,27.9,9.3
Antica Posta Restaurant,3.8,5.1,9.8,22.5,47.2,11.7
Antico,2.2,2.6,10.7,34.0,44.5,6.0
Apache XLR,5.2,5.3,14.8,34.1,32.5,8.1
Applebee's Grill + Bar,16.8,10.2,18.2,24.4,24.3,6.1
Apres Diem,2.6,4.2,11.7,27.1,46.4,8.0
Apron,5.2,10.3,5.2,27.6,44.8,6.9
Area 4 Restaurant,11.3,4.9,8.2,12.6,53.4,9.5
Arepa Mía,5.0,3.2,11.7,18.5,45.0,16.7
Argosy,2.4,3.0,15.5,38.5,38.1,2.6
Aria,2.2,4.1,7.3,25.6,45.8,15.0
Arnette's Chop Shop,3.1,0.8,3.3,10.0,63.8,19.0
Athens Pizza,3.3,2.9,12.9,31.2,43.5,6.2
Atkins Park Tavern,5.4,5.4,15.3,28.8,35.2,9.8
Atlanta Bar and Grille,10.8,0.0,0.0,0.0,0.0,89.2
Atlanta Bread Smyrna,7.0,4.6,18.6,34.6,31.9,3.3
Atlanta Breakfast Club,3.6,1.8,7.9,26.5,47.3,12.9
Atlanta Grill,2.7,0.0,10.8,21.6,43.2,21.6
Atlanta Wings,5.2,3.2,10.0,25.5,48.6,7.6
Atlanta's Best Wings,6.6,4.8,15.1,30.4,34.6,8.4
Atlantic Grill,12.2,7.0,16.7,24.9,35.9,3.3
Atlantic Noodles Restaurant,13.0,4.3,0.0,13.0,39.1,30.4
Atlantis Restaurant & Lounge,22.1,8.8,18.3,22.1,21.0,7.7
Atmosphere Restaurant,3.2,3.9,12.7,28.2,35.2,16.9
Auntie Anne's,56.2,0.0,0.0,18.8,12.5,12.5
Azule Restaurant and Lounge,12.1,6.1,6.1,0.0,12.1,63.6
B-Side,6.2,3.1,7.7,4.6,60.0,18.5
B51,16.4,6.4,21.4,23.6,29.6,2.6
BBQ Cafe,4.3,0.0,13.0,8.7,52.2,21.7
BEP! Vietnamese Cuisine,6.5,15.2,8.7,26.1,32.6,10.9
Babette's Cafe,1.0,3.2,11.8,23.9,43.9,16.2
Babs Midtown,3.2,4.5,10.2,32.0,39.0,11.0
Bacchanalia,0.9,2.1,10.5,28.8,43.0,14.6
Bakaris Plant-based pizza,10.6,5.6,15.9,24.9,29.0,14.0
Baked Kitchen,6.7,0.0,6.7,6.7,0.0,80.0
Baker Dude Bakery Cafe,7.2,2.2,0.7,3.6,61.9,24.5
Baltimore Crab & Seafood,8.7,4.0,12.4,30.6,36.0,8.3
Bangkok Thai Restaurant,5.8,4.8,10.9,21.1,47.6,9.9
Banshee,0.8,1.2,3.1,15.7,70.9,8.3
Bantam + Biddy,4.9,4.6,14.8,21.9,40.6,13.2
Bantam Pub,2.3,3.7,16.5,31.4,37.4,8.8
Bar Margot,2.7,2.1,7.1,28.2,47.5,12.5
Bar Mercado,4.1,3.1,10.2,25.3,47.2,10.2
Bar Vegan ATL,6.6,6.1,5.5,0.0,9.9,71.8
Baraka Sharwarma Mediterenean,3.4,2.3,7.7,32.0,45.8,8.8
Barbecue kitchen,3.4,0.0,10.3,0.0,10.3,75.9
Bareburger,19.7,12.7,10.5,18.4,37.8,1.0
Basil's Restaurant & Tapas Bar,4.1,3.7,10.8,22.7,40.9,17.8
Batter Cookie Dough Buckhead,33.3,0.0,0.0,0.0,0.0,66.7
Bayou'Q Atlanta,9.8,2.0,5.9,0.0,17.6,64.7
Bazati,18.3,8.5,4.2,5.6,42.3,21.1
"Beer Girl, Growlers & Bottleshop",2.3,0.6,6.9,42.0,34.5,13.8
BeetleCat,2.8,2.0,9.4,26.5,42.2,17.1
Bench Warmers Sports Grill,4.6,5.1,18.5,32.6,34.1,5.1
Benihana,24.7,7.1,14.9,19.3,26.0,8.1
Best End Brewing Company,1.3,2.6,2.6,4.6,42.5,46.4
Bhojanic Food Truck,50.0,0.0,0.0,0.0,0.0,50.0
Big Bang Pizza,9.1,7.0,8.5,14.9,49.9,10.5
Big Daddy's Cafe,6.8,3.3,12.0,26.9,38.5,12.4
Big Daddy's Kitchen,7.1,4.5,14.9,28.7,35.5,9.4
Big Easy Grille,4.5,2.9,12.2,33.2,35.2,12.0
